heuristica;n;m;replicacao;tempo;iteracoes;valor;parametro
monotona;31;10;1;0.004004;1138;158;N/A
monotona;31;10;2;0.002504;1114;177;N/A
monotona;31;10;3;0.003011;1081;181;N/A
monotona;31;10;4;0.003003;1115;200;N/A
monotona;31;10;5;0.003002;1086;141;N/A
monotona;31;10;6;0.003461;1111;197;N/A
monotona;31;10;7;0.003003;1107;185;N/A
monotona;31;10;8;0.002001;1092;168;N/A
monotona;31;10;9;0.002503;1099;189;N/A
monotona;31;10;10;0.002526;1100;158;N/A
monotona;100;10;1;0.008515;1422;521;N/A
monotona;100;10;2;0.008007;1421;562;N/A
monotona;100;10;3;0.006948;1518;504;N/A
monotona;100;10;4;0.008511;1357;575;N/A
monotona;100;10;5;0.006516;1500;536;N/A
monotona;100;10;6;0.007006;1414;583;N/A
monotona;100;10;7;0.00651;1540;464;N/A
monotona;100;10;8;0.008515;1444;567;N/A
monotona;100;10;9;0.007437;1547;502;N/A
monotona;100;10;10;0.007006;1431;477;N/A
monotona;89;20;1;0.008516;1585;248;N/A
monotona;89;20;2;0.009512;1622;248;N/A
monotona;89;20;3;0.009025;1615;234;N/A
monotona;89;20;4;0.007523;1526;247;N/A
monotona;89;20;5;0.007006;1562;248;N/A
monotona;89;20;6;0.008418;1627;253;N/A
monotona;89;20;7;0.009517;1559;208;N/A
monotona;89;20;8;0.008511;1713;229;N/A
monotona;89;20;9;0.008985;1655;241;N/A
monotona;89;20;10;0.007516;1598;251;N/A
monotona;400;20;1;0.10324;6013;1050;N/A
monotona;400;20;2;0.089878;5304;1071;N/A
monotona;400;20;3;0.093076;5510;1030;N/A
monotona;400;20;4;0.08583;4786;1078;N/A
monotona;400;20;5;0.092641;5223;1043;N/A
monotona;400;20;6;0.090398;5094;1050;N/A
monotona;400;20;7;0.102722;5918;1083;N/A
monotona;400;20;8;0.085667;4781;1069;N/A
monotona;400;20;9;0.088739;5037;1032;N/A
monotona;400;20;10;0.088989;5408;1064;N/A
monotona;353;50;1;0.114024;6955;367;N/A
monotona;353;50;2;0.121049;7286;353;N/A
monotona;353;50;3;0.108986;6765;362;N/A
monotona;353;50;4;0.101851;6026;366;N/A
monotona;353;50;5;0.124111;6612;365;N/A
monotona;353;50;6;0.139022;6697;370;N/A
monotona;353;50;7;0.119758;7089;362;N/A
monotona;353;50;8;0.108944;6387;349;N/A
monotona;353;50;9;0.133782;8087;353;N/A
monotona;353;50;10;0.117009;6925;376;N/A
monotona;2500;50;1;6.881841;75624;2552;N/A
monotona;2500;50;2;6.709163;72892;2527;N/A
monotona;2500;50;3;6.512735;69857;2468;N/A
monotona;2500;50;4;6.849438;73785;2550;N/A
monotona;2500;50;5;7.078767;77476;2513;N/A
monotona;2500;50;6;6.832759;75091;2597;N/A
monotona;2500;50;7;6.81454;74463;2519;N/A
monotona;2500;50;8;6.500534;70321;2558;N/A
monotona;2500;50;9;6.402449;70007;2536;N/A
monotona;2500;50;10;7.43051;80167;2518;N/A
tabu;31;10;1;0.009517;1048;159;0.31~2.79
tabu;31;10;2;0.009846;1050;189;0.31~2.79
tabu;31;10;3;0.010513;1057;199;0.31~2.79
tabu;31;10;4;0.009517;1048;187;0.31~2.79
tabu;31;10;5;0.009484;1048;238;0.31~2.79
tabu;31;10;6;0.009015;1052;205;0.31~2.79
tabu;31;10;7;0.010518;1052;177;0.31~2.79
tabu;31;10;8;0.008511;1044;170;0.31~2.79
tabu;31;10;9;0.009517;1055;182;0.31~2.79
tabu;31;10;10;0.009167;1053;177;0.31~2.79
tabu;100;10;1;0.013018;1144;527;1.0~9.0
tabu;100;10;2;0.012776;1155;511;1.0~9.0
tabu;100;10;3;0.012515;1178;516;1.0~9.0
tabu;100;10;4;0.012834;1172;572;1.0~9.0
tabu;100;10;5;0.013016;1197;529;1.0~9.0
tabu;100;10;6;0.012515;1168;472;1.0~9.0
tabu;100;10;7;0.012519;1165;516;1.0~9.0
tabu;100;10;8;0.012894;1185;559;1.0~9.0
tabu;100;10;9;0.013064;1161;564;1.0~9.0
tabu;100;10;10;0.012294;1156;497;1.0~9.0
tabu;89;20;1;0.02178;1369;194;0.89~8.01
tabu;89;20;2;0.021932;1330;226;0.89~8.01
tabu;89;20;3;0.022114;1303;249;0.89~8.01
tabu;89;20;4;0.020767;1299;238;0.89~8.01
tabu;89;20;5;0.023237;1337;250;0.89~8.01
tabu;89;20;6;0.021943;1331;251;0.89~8.01
tabu;89;20;7;0.023419;1357;232;0.89~8.01
tabu;89;20;8;0.020747;1305;236;0.89~8.01
tabu;89;20;9;0.022032;1315;249;0.89~8.01
tabu;89;20;10;0.021376;1257;237;0.89~8.01
tabu;400;20;1;0.084241;2954;1057;4.0~36.0
